season,episode,name,length,jerry,longScene,george,longScene,elaine,longScene,kramer,longScene,other,longScene
1,1,The Seinfeld Chronicles,33,12,2,8,1,6,1.7,10,0.01,12.3,7
1,2,Male Un-bonding,28,10,1.5,6,3,4,1.43,9,0.25,10,5
1,3,The Stake Out,35,8,1.75,12,2.8,9,2.22,8,6,15,2
1,4,The Robbery,37,13,3,7,2.2,11,3,7,2,14,1
1,5,The Stock Tip,26.5,14,2.22,3,1.8,6.2,2,6,1.5,13,1
2,1,The Ex-Girlfriend,35,12.1,2,18,3,6,0.4,7,6,12,1
2,2,The Pony Remark,38,6,2,5,0.7,12,1,7,1.8,12,0.33
2,3,The Busboy,29,15,3.24,13,7,6,5,10,2.2,8,0.7
2,4,The Baby Shower,31,11,3.1,14.5,2,8,3,5,1.2,9,1
2,5,The Jacket,30,7.57,2,9,2,5,2,15,3,14,2
2,6,The Chinese Restaurant,34,12.9,5.2,15,2,18,5,16,2,14,1
